case,param,runner,iters,median_ms,mean_ms,min_ms,max_ms,stddev_ms,cv_pct,range_pct,p95_ms,throughput_mbps,peak_rss_mb,ratio_to_best,is_best,skipped,notes
cpu.bmt.encrypted-file-root,size_mb=1,rs,0,0,0,0,0,,,,,,117.5,,,true,no offline encryption-aware chunker API in bee-rs
cpu.bmt.encrypted-file-root,size_mb=1,js,0,0,0,0,0,,,,,,206,,,true,no offline encryption-aware chunker API in bee-js
cpu.bmt.encrypted-file-root,size_mb=10,go,0,0,0,0,0,,,,,,234.9,,,true,no offline encryption-aware chunker API in bee-go
cpu.bmt.encrypted-file-root,size_mb=10,rs,0,0,0,0,0,,,,,,117.5,,,true,no offline encryption-aware chunker API in bee-rs
cpu.bmt.encrypted-file-root,size_mb=10,js,0,0,0,0,0,,,,,,206,,,true,no offline encryption-aware chunker API in bee-js
cpu.bmt.encrypted-file-root,size_mb=100,go,0,0,0,0,0,,,,,,234.9,,,true,no offline encryption-aware chunker API in bee-go
cpu.bmt.encrypted-file-root,size_mb=100,rs,0,0,0,0,0,,,,,,117.5,,,true,no offline encryption-aware chunker API in bee-rs
cpu.bmt.encrypted-file-root,size_mb=100,js,0,0,0,0,0,,,,,,206,,,true,no offline encryption-aware chunker API in bee-js
cpu.ecdsa.sign-1000,count=1000,go,5,72.804,81.096,72.733,114.085,18.442,22.741,56.7016,,,235,1,true,false,count=1000
cpu.ecdsa.sign-1000,count=1000,rs,5,117.815,117.893,117.758,118.265,0.2125,0.1802,0.382,,,117.7,1.6182,false,false,count=1000
cpu.ecdsa.sign-1000,count=1000,js,5,16176.529,16286.529,16121.296,16694.163,238.3247,1.4633,3.1999,,,238.4,222.1929,false,false,count=1000
cpu.ecdsa.verify-1000,count=1000,go,5,50.68,50.854,50.519,51.779,0.5232,1.0289,2.1685,,,236,1,true,false,count=1000
cpu.ecdsa.verify-1000,count=1000,rs,5,224.788,224.742,224.583,224.847,0.1075,0.0479,0.0912,,,117.7,4.4354,false,false,count=1000
cpu.ecdsa.verify-1000,count=1000,js,5,48129.132,48004.342,47516.64,48246.95,308.338,0.6423,1.2726,,,245.9,949.6672,false,false,count=1000
cpu.identity.create,count=1000,go,5,44.708,46.057,44.486,51.366,2.9809,6.4722,14.8922,,,236,1,true,false,count=1000
cpu.identity.create,count=1000,rs,5,66.123,66.172,66.013,66.407,0.1752,0.2648,0.4295,,,117.7,1.479,false,false,count=1000
cpu.identity.create,count=1000,js,5,16180.697,16208.605,16140.572,16372.035,93.185,0.5749,1.1825,,,246.1,361.9195,false,false,count=1000
cpu.keccak.parallel,chunk_bytes=4096;count=10000,go,5,51.576,50.419,42.514,57.274,5.5012,10.911,17.5702,,757.38,242.3,1.1073,false,false,count=10000 workers=24
cpu.keccak.parallel,chunk_bytes=4096;count=10000,rs,5,46.578,49.607,41.248,59.75,8.2442,16.619,28.2794,,838.65,118.5,1,true,false,count=10000 workers=24
cpu.keccak.parallel,chunk_bytes=4096;count=10000,js,5,553.767,551.99,537.451,566.085,10.4632,1.8955,2.9464,,70.54,922.3,11.889,false,false,count=10000 workers=24
cpu.manifest.hash-50files,file_bytes=1024;files=50,go,5,7.748,7.746,7.727,7.759,0.0129,0.1662,0.271,,6.3,242.4,1,true,false,files=50 bytes_each=1024
cpu.manifest.hash-50files,file_bytes=1024;files=50,rs,5,9.268,9.197,8.776,9.389,0.2517,2.7366,5.3086,,5.27,118.4,1.1962,false,false,files=50 bytes_each=1024
cpu.manifest.hash-50files,file_bytes=1024;files=50,js,5,81.614,81.589,79.116,85.5,2.5651,3.1439,4.7614,,0.6,252.8,10.5336,false,false,files=50 bytes_each=1024
cpu.manifest.lookup-large,entries=5000;lookups=1000,go,5,0.442,0.458,0.438,0.511,0.0308,6.7208,15.6109,,,242.4,1.4783,false,false,entries=5000 lookups=1000
cpu.manifest.lookup-large,entries=5000;lookups=1000,rs,5,0.299,0.308,0.286,0.36,0.0294,9.5217,20.4013,,,123.1,1,true,false,entries=5000 lookups=1000
cpu.manifest.lookup-large,entries=5000;lookups=1000,js,5,2.244,3.012,2.111,5.518,1.4519,48.202,145.9002,,,277.1,7.505,false,false,entries=5000 lookups=1000
net.stamps.list,,go,5,0.929,0.908,0.694,1.129,0.1681,18.5134,25.296,,,242.5,2.8851,false,false,
net.stamps.list,,rs,5,0.322,0.328,0.28,0.397,0.0438,13.3662,23.2919,,,123.2,1,true,false,
net.stamps.list,,js,5,2.568,2.462,1.972,2.749,0.3157,12.8221,23.2087,,,273.2,7.9752,false,false,
net.stamps.concurrent,count=200,go,5,49.617,47.563,41.314,51.198,4.2755,8.9891,16.7342,,,247.2,12.6348,false,false,count=200
net.stamps.concurrent,count=200,rs,5,3.927,4.088,3.585,5.241,0.6647,16.2584,33.4607,,,129.2,1,true,false,count=200
net.stamps.concurrent,count=200,js,5,102.923,99.144,84.252,107.158,9.1711,9.2502,18.1407,,,279,26.2091,false,false,count=200
net.feed.write-read.fresh,,go,5,62731.12,62556.264,62028.171,62951.052,396.6561,0.6341,1.1206,,,247.3,1,true,false,
net.feed.write-read.fresh,,rs,5,77758.471,77331.979,47863.805,94653.406,19351.5188,25.024,38.4455,,,127.1,1.2396,false,false,
net.feed.write-read.fresh,,js,5,95102.97,82026.966,13973.803,125433.366,42697.7063,52.0533,85.3067,,,224.3,1.516,false,false,
net.feed.write-read.warm,reads=5,go,5,5015.773,5016.87,5015.471,5018.836,1.7531,0.0349,0.0611,,,160.1,1.0002,false,false,reads=5
net.feed.write-read.warm,reads=5,rs,5,5014.738,5014.651,5012.895,5015.75,1.0826,0.0216,0.0368,,,127.1,1,true,false,reads=5
net.feed.write-read.warm,reads=5,js,5,5018.627,5018.988,5017.03,5021.385,1.9545,0.0389,0.055,,,225.4,1.0008,false,false,reads=5
net.bzz.upload,size_mb=1,go,5,97.967,99.389,90.417,111.48,8.5067,8.5589,13.7934,,10.21,152.7,1.0641,false,false,
net.bzz.upload,size_mb=1,rs,5,92.063,92.627,88.352,95.84,3.1107,3.3584,4.1026,,10.86,127.7,1,true,false,
net.bzz.upload,size_mb=1,js,5,105.075,104.936,101.728,108.518,2.8152,2.6828,3.2767,,9.52,232.9,1.1413,false,false,
net.bzz.upload,size_mb=10,go,5,966.595,970.876,939.877,1014.647,32.798,3.3782,4.9713,,10.35,164.9,1.0967,false,false,
net.bzz.upload,size_mb=10,rs,5,881.386,886.687,866.006,908.158,16.2571,1.8335,3.0375,,11.35,146.7,1,true,false,
net.bzz.upload,size_mb=10,js,5,969.873,979.456,960.757,1023.635,25.2629,2.5793,5.5432,,10.31,320.5,1.1004,false,false,
net.bzz.upload,size_mb=100,go,5,9892.975,9899.126,9507.552,10140.852,258.0821,2.6071,3.8959,,10.11,366,1.0565,false,false,
net.bzz.upload,size_mb=100,rs,5,9364.328,9502.59,9353.224,10012.528,286.3782,3.0137,6.922,,10.68,326.9,1,true,false,
net.bzz.upload,size_mb=100,js,5,9837.895,10192.952,9732.54,11545.124,762.4972,7.4806,17.3536,,10.16,1208.3,1.0506,false,false,
net.bzz.upload.encrypted,size_mb=1,go,5,291.301,293.572,285.389,306.05,7.6683,2.6121,5.0631,,3.43,366,1.1825,false,false,
net.bzz.upload.encrypted,size_mb=1,rs,5,246.335,245.498,237.314,250.044,5.1693,2.1057,3.6621,,4.06,127.7,1,true,false,
net.bzz.upload.encrypted,size_mb=1,js,5,270.28,271.253,266.832,276.786,3.8924,1.435,2.4071,,3.7,1110.3,1.0972,false,false,
net.bzz.upload.encrypted,size_mb=10,go,5,3215.003,3209.665,3129.286,3265.816,52.4476,1.6341,2.6662,,3.11,366.1,1.3309,false,false,
net.bzz.upload.encrypted,size_mb=10,rs,5,2415.58,2418.66,2395.354,2446.606,19.3832,0.8014,1.2844,,4.14,146.7,1,true,false,
net.bzz.upload.encrypted,size_mb=10,js,5,2837.959,2858.051,2793.794,2932.366,55.7034,1.949,3.3266,,3.52,327.7,1.1749,false,false,
net.bzz.upload.encrypted,size_mb=100,go,5,33072.454,33262.85,32564.922,33933.926,544.1164,1.6358,2.6048,,3.02,466.5,1.5478,false,false,
net.bzz.upload.encrypted,size_mb=100,rs,5,21367.065,22140.357,21041.679,23961.004,1265.1662,5.7143,12.1399,,4.68,326.9,1,true,false,
net.bzz.upload.encrypted,size_mb=100,js,5,30183.716,30052.33,28659.641,31346.256,1008.2428,3.355,5.0493,,3.31,1207.7,1.4126,false,false,
net.bytes.upload,size_mb=1,go,5,95.389,95.415,88.545,101.416,5.3587,5.6162,7.1748,,10.48,375.2,1,true,false,
net.bytes.upload,size_mb=1,rs,5,96.716,97.153,89.65,103.075,4.9912,5.1375,7.3059,,10.34,127.7,1.0139,false,false,
net.bytes.upload,size_mb=1,js,5,101.926,104.528,101.356,110.787,4.2373,4.0538,8.6936,,9.81,1107.7,1.0685,false,false,
net.bytes.upload,size_mb=10,go,5,897.977,897.434,891.231,901.912,4.1537,0.4628,0.7512,,11.14,375.2,1.0061,false,false,
net.bytes.upload,size_mb=10,rs,5,892.559,901.128,861.266,937.28,29.8837,3.3163,5.0104,,11.2,146.7,1,true,false,
net.bytes.upload,size_mb=10,js,5,1016.494,1019.682,1006.704,1038.743,12.2407,1.2004,2.1888,,9.84,347.6,1.1389,false,false,
net.bytes.upload,size_mb=100,go,5,10785.176,11236.033,10540.911,12397.669,824.4385,7.3375,14.951,,9.27,467.1,1.0781,false,false,
net.bytes.upload,size_mb=100,rs,5,10004.085,10082.864,9906.531,10542.702,262.8283,2.6067,5.384,,10,326.9,1,true,false,
net.bytes.upload,size_mb=100,js,5,10544.366,10690.566,10281.591,11389.202,436.8839,4.0866,8.0122,,9.48,1247.6,1.054,false,false,
net.bzz.download,size_mb=1,go,5,4.158,4.344,3.58,5.604,0.7673,17.6642,34.7763,,240.5,467.1,1,true,false,
net.bzz.download,size_mb=1,rs,5,5.524,5.29,4.489,6.089,0.6405,12.108,18.7364,,181.03,128.1,1.3285,false,false,
net.bzz.download,size_mb=1,js,5,9.955,10.346,9.781,11.814,0.8429,8.1473,18.674,,100.45,1147.6,2.3942,false,false,
net.bzz.download,size_mb=10,go,5,26.284,30.57,25.524,47.197,9.3286,30.516,79.5655,,380.46,467.1,1,true,false,
net.bzz.download,size_mb=10,rs,5,35.173,35.317,31.881,40.425,3.2228,9.1254,14.9319,,284.31,147.1,1.3382,false,false,
net.bzz.download,size_mb=10,js,5,74.548,76.866,73.773,82.234,3.8551,5.0153,10.3101,,134.14,293.9,2.8363,false,false,
net.bzz.download,size_mb=100,go,5,415.037,418.806,396.199,437.083,16.0537,3.8332,5.3118,,240.94,242.5,1.0507,false,false,
net.bzz.download,size_mb=100,rs,5,395.028,398.236,379.704,426.215,17.8572,4.4841,7.8949,,253.15,327.3,1,true,false,
net.bzz.download,size_mb=100,js,5,639.586,627.941,599.507,647.041,21.3177,3.3949,6.2664,,156.35,669.2,1.6191,false,false,
net.bytes.head,count=100,go,5,21.902,23.753,18.816,34.085,6.0891,25.6355,55.6251,,,243.5,1,true,false,count=100
net.bytes.head,count=100,rs,5,24.574,24.361,21.309,26.734,2.0798,8.5375,13.2864,,,127.9,1.122,false,false,count=100
net.bytes.head,count=100,js,5,97.949,97.49,92.461,103.265,4.0634,4.168,5.6029,,,585,4.4721,false,false,count=100
net.bytes.download.range,ranges=50;size_mb=1,go,5,6.865,6.963,6.495,7.468,0.438,6.2908,8.7837,,145.67,443.5,1,true,false,slice_mb=1
net.bytes.download.range,ranges=50;size_mb=1,rs,5,8.427,9.129,8.259,11.316,1.2843,14.0682,34.2827,,118.67,227.9,1.2275,false,false,slice_mb=1
net.bytes.download.range,ranges=50;size_mb=1,js,5,10.781,11.284,9.809,13.561,1.5722,13.9332,25.7861,,92.76,648.7,1.5704,false,false,slice_mb=1
net.chunks.upload,count=50,go,5,232442.707,209491.412,95375.887,271172.174,67154.1157,32.0558,58.968,,0,243.2,1.24,false,false,count=50
net.chunks.upload,count=50,rs,5,187452.898,206414.171,148630.9,277896.467,53414.3177,25.8773,48.2487,,0,128.9,1,true,false,count=50
net.chunks.upload,count=50,js,5,228575.083,212288.627,126685.336,267314.095,61732.5449,29.0795,44.5761,,0,648.9,1.2194,false,false,count=50
net.stream-dir.upload,file_bytes=8192;files=20,go,5,252469.061,266741.598,199928.076,422389.598,90824.4916,34.0496,67.3035,,0,151.6,2.9261,false,false,files=20 bytes_each=8192
net.stream-dir.upload,file_bytes=8192;files=20,rs,5,86281.446,77829.942,54121.951,89881.857,14991.4683,19.2618,37.2728,,0,129,1,true,false,files=20 bytes_each=8192
net.stream-dir.upload,file_bytes=8192;files=20,js,5,97637.859,99966.559,49652.105,182838.425,50883.0003,50.9,87.2618,,0,250.3,1.1316,false,false,files=20 bytes_each=8192
net.soc.upload,count=25,go,5,68630.645,69225.083,40595.117,112530.726,28735.2515,41.5099,63.9657,,0,151.7,1.6904,false,false,count=25
net.soc.upload,count=25,rs,5,40601.197,49768.447,36339.527,68441.005,15754.8285,31.6563,68.5689,,0,129,1,true,false,count=25
net.soc.upload,count=25,js,5,84731.895,102989.208,45319.239,174793.522,56739.4459,55.0926,106.2901,,0,250.3,2.0869,false,false,count=25
net.pin.add-list,count=25,go,5,70.123,5333.037,47.969,26393.235,11773.0306,220.7566,37538.4852,,,151.7,2.3526,false,false,count=25
net.pin.add-list,count=25,rs,5,29.806,11114.154,23.376,55461.89,24791.1381,223.0592,185976.2598,,,129,1,true,false,count=25
net.pin.add-list,count=25,js,5,76.997,77.526,73.777,82.832,3.3024,4.2598,7.5782,,,251.4,2.5833,false,false,count=25
net.tags.upload-with-tag,size_mb=1,go,5,125.481,129.308,119.248,141.993,9.0946,7.0333,13.159,,7.97,153.7,1.3537,false,false,size_mb=1
net.tags.upload-with-tag,size_mb=1,rs,5,92.694,95.065,89.893,101.937,5.1992,5.4691,9.9715,,10.79,129.8,1,true,false,size_mb=1
net.tags.upload-with-tag,size_mb=1,js,5,98.606,98.066,91.326,101.816,4.0719,4.1522,7.3829,,10.14,261.3,1.0638,false,false,size_mb=1
